epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7548,1.02084,4.36025,1.45847,0.02748,0.72062,0.08626,0.07172,0.6438,3.45736,1.16618,0.000109832,0.000109832,0.000109832
2,20.7873,0.85747,3.88352,1.30175,0.27989,0.36171,0.27338,0.21979,0.74912,3.25145,1.29492,0.000218645,0.000218645,0.000218645
3,30.687,0.89997,3.38456,1.32738,0.31185,0.48997,0.4241,0.34512,0.86018,2.18982,1.2966,0.000325261,0.000325261,0.000325261
4,40.5649,0.90251,2.91399,1.3162,0.4186,0.65111,0.58326,0.45167,0.89492,1.81328,1.34532,0.00032311,0.00032311,0.00032311
5,50.4486,0.86357,2.58245,1.27025,0.50894,0.61786,0.64823,0.51289,0.84159,1.63964,1.27921,0.000319813,0.000319813,0.000319813
6,60.3343,0.82711,2.32545,1.25102,0.60213,0.64229,0.68182,0.53318,0.87566,1.61351,1.29509,0.000316517,0.000316517,0.000316517
7,70.2064,0.84039,2.11493,1.24862,0.63211,0.67107,0.74431,0.59616,0.87995,1.49952,1.33933,0.00031322,0.00031322,0.00031322
8,80.0793,0.787,1.8866,1.20829,0.65061,0.78561,0.82778,0.66126,0.92906,1.13474,1.33027,0.000309923,0.000309923,0.000309923
9,89.9683,0.77768,1.77418,1.19384,0.77145,0.8214,0.89266,0.71749,0.87411,1.00191,1.26322,0.000306626,0.000306626,0.000306626
10,99.8469,0.73806,1.64619,1.17498,0.70426,0.79621,0.85455,0.71093,0.77748,1.01682,1.20526,0.00030333,0.00030333,0.00030333
11,109.701,0.74568,1.55256,1.16976,0.86391,0.84519,0.92223,0.7438,0.86437,0.8542,1.27222,0.000300033,0.000300033,0.000300033
12,119.584,0.74709,1.47497,1.17537,0.78334,0.79052,0.87955,0.68374,0.97004,1.02493,1.33064,0.000296736,0.000296736,0.000296736
13,129.458,0.73391,1.40643,1.16379,0.8861,0.83067,0.9275,0.7069,1.03491,0.8331,1.44683,0.00029344,0.00029344,0.00029344
14,139.318,0.73945,1.35677,1.16531,0.83142,0.85436,0.92185,0.72274,0.95461,0.84234,1.3626,0.000290143,0.000290143,0.000290143
15,149.182,0.73584,1.3176,1.17364,0.91466,0.77267,0.92709,0.75776,0.85838,0.77003,1.25641,0.000286846,0.000286846,0.000286846
16,159.058,0.72454,1.25691,1.1511,0.86407,0.90107,0.93575,0.7434,0.92764,0.70861,1.31346,0.00028355,0.00028355,0.00028355
17,168.93,0.69638,1.20246,1.13573,0.87943,0.86341,0.94081,0.76656,0.84024,0.7312,1.24567,0.000280253,0.000280253,0.000280253
18,178.816,0.71965,1.20388,1.1488,0.84282,0.87299,0.93158,0.7543,0.85462,0.7857,1.22729,0.000276956,0.000276956,0.000276956
19,188.659,0.69129,1.16802,1.13651,0.87126,0.79068,0.91842,0.76227,0.78769,0.79303,1.19224,0.000273659,0.000273659,0.000273659
20,198.533,0.67912,1.11981,1.11785,0.93393,0.86125,0.94594,0.74414,0.94668,0.63528,1.33956,0.000270363,0.000270363,0.000270363
21,208.412,0.68845,1.07648,1.13931,0.8883,0.8212,0.93509,0.73223,0.94816,0.7292,1.33492,0.000267066,0.000267066,0.000267066
22,218.286,0.68399,1.07185,1.13386,0.88137,0.87624,0.93671,0.76193,0.84897,0.6732,1.27628,0.000263769,0.000263769,0.000263769
23,228.144,0.66792,1.02526,1.11928,0.92115,0.81961,0.94386,0.77111,0.8233,0.61471,1.24599,0.000260473,0.000260473,0.000260473
24,238.031,0.66695,0.95391,1.11157,0.93355,0.92129,0.95613,0.77447,0.83143,0.6009,1.22303,0.000257176,0.000257176,0.000257176
25,247.923,0.65016,0.95058,1.10108,0.90518,0.86798,0.93494,0.77882,0.75238,0.66781,1.1745,0.000253879,0.000253879,0.000253879
