epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.92276,1.05551,4.3463,1.49455,0.0335,0.69199,0.08916,0.07031,0.64508,3.45606,1.18878,0.000109539,0.000109539,0.000109539
2,15.734,0.8854,3.68461,1.34362,0.28165,0.48785,0.28031,0.22436,0.74357,2.62405,1.2855,0.000218356,0.000218356,0.000218356
3,23.4692,0.92104,3.16435,1.36556,0.40803,0.51122,0.46188,0.36941,0.778,2.05104,1.33087,0.000324975,0.000324975,0.000324975
4,31.1907,0.89596,2.86372,1.34587,0.44163,0.63336,0.56846,0.46727,0.75432,1.68446,1.32115,0.00032311,0.00032311,0.00032311
5,38.9095,0.87682,2.60032,1.31328,0.60021,0.6559,0.73026,0.58653,0.76626,1.53937,1.33378,0.000319813,0.000319813,0.000319813
6,46.6096,0.87136,2.41025,1.3015,0.72466,0.69692,0.77716,0.65576,0.68687,1.36425,1.24677,0.000316517,0.000316517,0.000316517
7,54.307,0.84371,2.25667,1.27734,0.7753,0.70807,0.83809,0.70628,0.70227,1.22638,1.26577,0.00031322,0.00031322,0.00031322
8,62.0331,0.83454,2.03655,1.2652,0.67217,0.79584,0.84469,0.71708,0.6702,1.09919,1.21237,0.000309923,0.000309923,0.000309923
9,69.7416,0.78896,1.91015,1.22162,0.73884,0.81525,0.88469,0.75477,0.66185,0.97049,1.2075,0.000306626,0.000306626,0.000306626
10,77.4666,0.796,1.86337,1.22857,0.79221,0.83467,0.91269,0.76527,0.70039,0.98522,1.25558,0.00030333,0.00030333,0.00030333
11,85.1911,0.76195,1.70754,1.19878,0.79421,0.86275,0.9065,0.7712,0.65621,0.99122,1.19147,0.000300033,0.000300033,0.000300033
12,92.9086,0.75679,1.64086,1.2053,0.86747,0.84949,0.93335,0.80699,0.6261,0.77231,1.16062,0.000296736,0.000296736,0.000296736
13,100.609,0.76102,1.61081,1.1998,0.86791,0.87615,0.94378,0.81147,0.6406,0.77503,1.19281,0.00029344,0.00029344,0.00029344
14,108.315,0.7682,1.54831,1.19872,0.91182,0.88473,0.96122,0.82064,0.647,0.74612,1.19244,0.000290143,0.000290143,0.000290143
15,116.015,0.74012,1.42563,1.17436,0.92211,0.9005,0.97186,0.84401,0.62324,0.7241,1.17525,0.000286846,0.000286846,0.000286846
16,123.714,0.7202,1.40969,1.16643,0.92043,0.90842,0.9693,0.8345,0.61529,0.63384,1.154,0.00028355,0.00028355,0.00028355
17,131.402,0.73998,1.40941,1.18252,0.91016,0.92943,0.98246,0.84666,0.62194,0.61601,1.1593,0.000280253,0.000280253,0.000280253
18,139.105,0.72812,1.33711,1.16972,0.95533,0.92506,0.97363,0.84722,0.60991,0.56286,1.15277,0.000276956,0.000276956,0.000276956
19,146.787,0.73956,1.33516,1.17725,0.90476,0.94937,0.97501,0.84443,0.61141,0.59673,1.15998,0.000273659,0.000273659,0.000273659
20,154.485,0.73235,1.31238,1.17636,0.92489,0.92951,0.97345,0.83618,0.61918,0.62052,1.17014,0.000270363,0.000270363,0.000270363
21,162.183,0.6979,1.24354,1.14815,0.92819,0.95086,0.98568,0.84793,0.63183,0.59017,1.17226,0.000267066,0.000267066,0.000267066
22,169.898,0.72384,1.26948,1.16697,0.90849,0.95987,0.98587,0.85774,0.60473,0.57813,1.13532,0.000263769,0.000263769,0.000263769
23,177.611,0.71032,1.19434,1.15787,0.93391,0.92747,0.98433,0.84004,0.62991,0.57209,1.17446,0.000260473,0.000260473,0.000260473
